registerCode,signed,registerType,registerFlag,address,min,max,description,value,status
"REG_USERMODE_REMAINING_TIME_ CDI3_L","I","Read Input Register (Function 04)","INPUT_REG","1625",,,"Remaining time","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_USERMODE_REMAINING_TIME_ CDI3_H","I","Read Input Register (Function 04)","INPUT_REG","1626",,,,"0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TC_SP","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2001","120","300","Temperature setpoint for the supply air temperature","1",
"REG_TC_CASCADE_SP","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2013","120","400","Temperature set point for SATC, as calculated by RATC/EATC during cascade control","0",
"REG_TC_CASCADE_SP_MIN","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2021","120","400","Minimum temperature set point for the SATC","400",
"REG_TC_CASCADE_SP_MAX","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2022","120","400","Maximum temperature set point for the SATC","0",
"REG_TC_CONTROL_MODE","I","Holding Register (Function 03/06/16)","HOLDING_REG","2031","0","2","Unit temperature control mode0: Supply1: Room2: Extract","0",
"REG_TC_EAT_RAT_SP","I*","Read Input Register (Function 04)","INPUT_REG","2051","120","400","EAT or RAT value, used for room/extract air controller.","150","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TC_ROOM_CTRL_SP_SATC","I*","Read Input Register (Function 04)","INPUT_REG","2053","120","400","Temperature set point for SATC, as calculated by RATC/EATC during cascade control","150","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TC_SP_SATC","I*","Read Input Register (Function 04)","INPUT_REG","2054","120","300","Temperature setpoint for the supply air temperature","34","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SATC_HEAT_DEMAND","I","Read Input Register (Function 04)","INPUT_REG","2055","0","100","Output of the SATC (0-100%)","34","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SATC_PI_SP","I*","Read Input Register (Function 04)","INPUT_REG","2061","120","300","SATC setpoint value","138","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SATC_PI_OUTPUT","I*","Read Input Register (Function 04)","INPUT_REG","2069","0","100","SATC output signal","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_ROOM_CTRL_PI_SP","I*","Read Input Register (Function 04)","INPUT_REG","2071","120","300","RATC setpoint value","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_ROOM_CTRL_PI_OUTPUT","I*","Read Input Register (Function 04)","INPUT_REG","2079","0","100","RATC output signal","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_INPUT_EXTERNAL_CTRL_SAF","I","Read Input Register (Function 04)","INPUT_REG","2101","0","100","Value from External Controller Input, SAF. In
%.","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_INPUT_EXTERNAL_CTRL_EAF","I","Read Input Register (Function 04)","INPUT_REG","2102","0","100","Value from External Controller Input, EAF. In
%.","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_HEATER_CIRC_PUMP_START_T","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2113","0","200","Temperature at which the Heater circulation pump is started","0",
"REG_HEATER_CIRC_PUMP_STOP_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","2122","0","60","Off time delay for the heater circulation pump in minutes","0",
"REG_HEAT_EXCHANGER_COOLING_ RECOVERY_ON_OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","2134","0","1","Enabling of cooling recovery","0",
"REG_HEAT_EXCHANGER_RH_ TRANSFER_CTRL_ENABLED","I","Read Input Register (Function 04)","INPUT_REG","2147",,,"Indicates if RH trasnfer control shall be applied","100","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_PWM_TRIAC_OUTPUT","I","Read Input Register (Function 04)","INPUT_REG","2149","0","100","TRIAC after manual override","25","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_ROTOR_RH_TRANSFER_CTRL_ PBAND","I","Holding Register (Function 03/06/16)","HOLDING_REG","2201","100-0","40","Pband setting for RH transfer control","0",
"REG_ROTOR_RH_TRANSFER_CTRL_ITIME","I","Holding Register (Function 03/06/16)","HOLDING_REG","2202","120","0","Itime setting for RH transfer control","45",
"REG_ROTOR_RH_TRANSFER_CTRL_ SETPOINT","I","Holding Register (Function 03/06/16)","HOLDING_REG","2203","100","45","Set point setting for RH transfer control","1",
"REG_ROTOR_RH_TRANSFER_CTRL_ON_ OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","2204","1","1","Enabling of humidity transfer control","0",
"REG_COOLER_FROM_SATC","I","Read Input Register (Function 04)","INPUT_REG","2311","0","100","Cooler signal","1","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_COOLER_CIRC_PUMP_START_T","I","Holding Register (Function 03/06/16)","HOLDING_REG","2314","0","200","Temperature at which the cooler circulation pump is started","20",
"REG_COOLER_RECOVERY_LIMIT_T","I","Holding Register (Function 03/06/16)","HOLDING_REG","2315","0","100","Temperature at which cooling recovery is allowed","120",
"REG_COOLER_OAT_INTERLOCK_T","I","Holding Register (Function 03/06/16)","HOLDING_REG","2316","120","250","Temperature at which cooling is interlocked","5",
"REG_COOLER_CIRC_PUMP_STOP_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","2317","0","60","Off time delay for the cooler circulation pump in minutes","0",
"REG_EXTRA_CONTROLLER_SET_PI_ SETPOINT","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2403","-300","400","Set point value for the extra controller PI regulator","0",
"REG_EXTRA_CONTROLLER_CIRC_PUMP_ START_T","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2404","0","200","Start temperature for extra controller circulation pump","5",
"REG_EXTRA_CONTROLLER_CIRC_PUMP_ STOP_DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","2405","0","60","Off time delay for the extra controller circulation pump in minutes","0",
"REG_EXTRA_CONTROLLER_PREHEATER_ SETPOINT_TYPE","I","Holding Register (Function 03/06/16)","HOLDING_REG","2418","0","1","Temperature setpoint for the preheater.0: Auto1: Manual","0",
"REG_CHANGE_OVER_CIRC_PUMP_ START_T","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2451","0","200","Start temperature for the change-over circulation pump","5",
"REG_CHANGE_OVER_CIRC_PUMP_STOP_ DELAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","2452","0","60","Off time delay for the change-over circulation pump in minutes","0",
"REG_ECO_T_Y1_OFFSET","I*","Holding Register (Function 03/06/16)","HOLDING_REG","2504","0","100","Temperature offset for heating during Eco mode","0",
"REG_ECO_MODE_ON_OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","2505","0","1","Enabling of eco mode","0",
"REG_ECO_FUNCTION_ACTIVE","I","Read Input Register (Function 04)","INPUT_REG","2506","0","1","Indicates if conditions for ECO mode are active (low temperature)","130","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FUNCTION_ACTIVE_HEATER_COOL_ DOWN","I","Read Input Register (Function 04)","INPUT_REG","3113","0","1","Active Heater Cool Down","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FUNCTION_ACTIVE_PRESSURE_ GUARD","I","Read Input Register (Function 04)","INPUT_REG","3114","0","1","Indicates if function is active","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FREE_COOLING_ON_OFF","I","Holding Register (Function 03/06/16)","HOLDING_REG","4101",,"1","Indicates if free cooling is enabled","220",
"REG_FREE_COOLING_OUTDOOR_ DAYTIME_T","I*","Holding Register (Function 03/06/16)","HOLDING_REG","4102","120","300","Minimum of highest daytime temperature for start of free cooling.","230",
"REG_FREE_COOLING_OUTDOOR_ NIGHTTIME_DEACTIVATION_HIGH_T_ LIMIT","I*","Holding Register (Function 03/06/16)","HOLDING_REG","4103","70","300","Highest night temperature limit for termination free cooling","120",
"REG_FREE_COOLING_OUTDOOR_ NIGHTTIME_DEACTIVATION_LOW_T_ LIMIT","I*","Holding Register (Function 03/06/16)","HOLDING_REG","4104","70","300","Lowest night temperature limit for termination free cooling","180",
"REG_FREE_COOLING_ROOM_CANCEL_T","I*","Holding Register (Function 03/06/16)","HOLDING_REG","4105","120","300","Lowest temperature room temperature for termination of free cooling","21",
"REG_FREE_COOLING_START_TIME_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","4106",,,"Start time of free cooling night-period, hour. Valid range is from 0 to 8 and from 21 to 23.","0",
"REG_FREE_COOLING_START_TIME_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","4107","0","59","Start time of free cooling night-period, Minute","8",
"REG_FREE_COOLING_END_TIME_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","4108",,,"End time of free cooling night-period, hour. Valid range is from 0 to 8 and from 21 to 23.","0",
"REG_FREE_COOLING_END_TIME_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","4109","0","59","End time of free cooling night-period, Minute","0",
"REG_FREE_COOLING_ACTIVE","I","Read Input Register (Function 04)","INPUT_REG","4111","0","1","Indicates if free cooling is being performed","3","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FREE_COOLING_MIN_SPEED_ LEVEL_SAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","4112","3","5","Minimum speed level during free cooling, SAF.3: Normal4: High5: Maximum","3",
"REG_FREE_COOLING_MIN_SPEED_ LEVEL_EAF","I","Holding Register (Function 03/06/16)","HOLDING_REG","4113","3","5","Minimum speed level during free cooling, EAF.3: Normal4: High5: Maximum","3",
"REG_WS_T_OFFSET_ACTIVE","I*","Holding Register (Function 03/06/16)","HOLDING_REG","5001","-100","0","Temperature offset during active week schedule.","0",
"REG_WS_T_OFFSET_INACTIVE","I*","Holding Register (Function 03/06/16)","HOLDING_REG","5002","-100","0","Temperature offset during inactive week schedule.","0",
"REG_WS_DAY1_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5003","0","23","Monday, Period 1, start","0",
"REG_WS_DAY1_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5004","0","59",,"0",
"REG_WS_DAY1_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5005","0","23","Monday, Period 1, end","0",
"REG_WS_DAY1_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5006","0","59",,"0",
"REG_WS_DAY1_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5007","0","23","Monday, Period 2, start","0",
"REG_WS_DAY1_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5008","0","59",,"0",
"REG_WS_DAY1_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5009","0","23","Monday, Period 2, end","0",
"REG_WS_DAY1_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5010","0","59",,"0",
"REG_WS_DAY2_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5011","0","23","Tuesday, Period 1, start","0",
"REG_WS_DAY2_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5012","0","59",,"0",
"REG_WS_DAY2_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5013","0","23","Tuesday, Period 1, end","0",
"REG_WS_DAY2_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5014","0","59",,"0",
"REG_WS_DAY2_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5015","0","23","Tuesday, Period 2, start","0",
"REG_WS_DAY2_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5016","0","59",,"0",
"REG_WS_DAY2_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5017","0","23","Tuesday, Period 2, end","0",
"REG_WS_DAY2_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5018","0","59",,"0",
"REG_WS_DAY3_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5019","0","23","Wednesday, Period 1, start","0",
"REG_WS_DAY3_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5020","0","59",,"0",
"REG_WS_DAY3_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5021","0","23","Wednesday, Period 1, end","0",
"REG_WS_DAY3_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5022","0","59",,"0",
"REG_WS_DAY3_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5023","0","23","Wednesday, Period 2, start","0",
"REG_WS_DAY3_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5024","0","59",,"0",
"REG_WS_DAY3_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5025","0","23","Wednesday, Period 2, end","0",
"REG_WS_DAY3_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5026","0","59",,"0",
"REG_WS_DAY4_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5027","0","23","Thursday, Period 1, start","0",
"REG_WS_DAY4_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5028","0","59",,"0",
"REG_WS_DAY4_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5029","0","23","Thursday, Period 1, end","0",
"REG_WS_DAY4_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5030","0","59",,"0",
"REG_WS_DAY4_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5031","0","23","Thursday, Period 2, start","0",
"REG_WS_DAY4_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5032","0","59",,"0",
"REG_WS_DAY4_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5033","0","23","Thursday, Period 2, end","0",
"REG_WS_DAY4_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5034","0","59",,"0",
"REG_WS_DAY5_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5035","0","23","Friday, Period 1, start","0",
"REG_WS_DAY5_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5036","0","59",,"0",
"REG_WS_DAY5_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5037","0","23","Friday, Period 1, end","0",
"REG_WS_DAY5_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5038","0","59",,"0",
"REG_WS_DAY5_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5039","0","23","Friday, Period 2, start","0",
"REG_WS_DAY5_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5040","0","59",,"0",
"REG_WS_DAY5_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5041","0","23","Friday, Period 2, end","0",
"REG_WS_DAY5_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5042","0","59",,"0",
"REG_WS_DAY6_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5043","0","23","Saturday, Period 1, start","0",
"REG_WS_DAY6_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5044","0","59",,"0",
"REG_WS_DAY6_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5045","0","23","Saturday, Period 1, end","0",
"REG_WS_DAY6_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5046","0","59",,"0",
"REG_WS_DAY6_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5047","0","23","Saturday, Period 2, start","0",
"REG_WS_DAY6_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5048","0","59",,"0",
"REG_WS_DAY6_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5049","0","23","Saturday, Period 2, end","0",
"REG_WS_DAY6_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5050","0","59",,"0",
"REG_WS_DAY7_PRD1_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5051","0","23","Sunday, Period 1, start","0",
"REG_WS_DAY7_PRD1_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5052","0","59",,"0",
"REG_WS_DAY7_PRD1_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5053","0","23","Sunday, Period 1, end","0",
"REG_WS_DAY7_PRD1_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5054","0","59",,"0",
"REG_WS_DAY7_PRD2_START_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5055","0","23","Sunday, Period 2, start","0",
"REG_WS_DAY7_PRD2_START_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5056","0","59",,"0",
"REG_WS_DAY7_PRD2_END_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","5057","0","23","Sunday, Period 2, end","0",
"REG_WS_DAY7_PRD2_END_M","I","Holding Register (Function 03/06/16)","HOLDING_REG","5058","0","59",,"0",
"REG_WS_ACTIVE","I","Read Input Register (Function 04)","INPUT_REG","5059","0","1","Indicates that the current time lays within the indicated intervals","3","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_WS_FAN_LEVEL_SCHEDULED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5060","1","5","Fan speed levels for SAF and EAF during active week schedule.1: Off(1)2: Low3: Normal4: High5: Demand(2)(1): Off available if Manual Fan Stop is enabled.(2): Demand available if demand control active or external fan control enabled.","2",
"REG_WS_FAN_LEVEL_UNSCHEDULED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5061","1","5","Fan speed levels for SAF and EAF during inactive week schedule.1: Off(1)2: Low3: Normal4: High5: Demand(2)(1): Off available if Manual Fan Stop is enabled.(2): Demand available if demand control active or external fan control enabled.","0",
"REG_WS_DAY1_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5101","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY1_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5102","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY2_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5103","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY2_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5104","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY3_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5105","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY3_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5106","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY4_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5107","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY4_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5108","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY5_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5109","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY5_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5110","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY6_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5111","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY6_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5112","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY7_PRD1_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5113","0","1","Flag indicating if this period is enabled.","1",
"REG_WS_DAY7_PRD2_ENABLED","I","Holding Register (Function 03/06/16)","HOLDING_REG","5114","0","1","Flag indicating if this period is enabled.","0",
"REG_TIME_YEAR","I","Holding Register (Function 03/06/16)","HOLDING_REG","6001","0","2999","Current time","1",
"REG_TIME_MONTH","I","Holding Register (Function 03/06/16)","HOLDING_REG","6002","1","12","Current time","3",
"REG_TIME_DAY","I","Holding Register (Function 03/06/16)","HOLDING_REG","6003","1","31","Current time","0",
"REG_TIME_HOUR","I","Holding Register (Function 03/06/16)","HOLDING_REG","6004","0","23","Current time","11",
"REG_TIME_MINUTE","I","Holding Register (Function 03/06/16)","HOLDING_REG","6005","0","59","Current time","22",
"REG_TIME_SECOND","I","Holding Register (Function 03/06/16)","HOLDING_REG","6006","0","59","Current time","1",
"REG_TIME_AUTO_SUM_WIN","I","Holding Register (Function 03/06/16)","HOLDING_REG","6007","0","1","Flag indicating if DST is enabled.0: Daylight saving time not enabled1: Daylight saving time enabled","1",
"REG_HOUR_FORMAT","I","Holding Register (Function 03/06/16)","HOLDING_REG","6008","0","1","Indicaties the presentation of time in the HMI. 24H/12H","4",
"REG_DAY_OF_THE_WEEK","I","Read Input Register (Function 04)","INPUT_REG","6009","0","6","Monday (0)...Sunday (6)","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_DST_PERIOD_ACTIVE","I","Read Input Register (Function 04)","INPUT_REG","6010","0","1",,"5292","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TIME_RTC_SECONDS_L","I","Read Input Register (Function 04)","INPUT_REG","6011",,,"Now time in seconds. Lower 16 bits.","-29853","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TIME_RTC_SECONDS_H","I","Read Input Register (Function 04)","INPUT_REG","6012",,,"Now time in seconds. Higher 16 bits.","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SYSTEM_START_UP_TIME_L","I","Read Input Register (Function 04)","INPUT_REG","6021",,,,"-29877","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SYSTEM_START_UP_TIME_H","I","Read Input Register (Function 04)","INPUT_REG","6022",,,,"0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_TIME_RTC","I","Read Input Register (Function 04)","INPUT_REG","6101",,,"RTC value in seconds, highest 16 bits","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FILTER_PERIOD","I","Holding Register (Function 03/06/16)","HOLDING_REG","7001","3","15","Filter replacement time in months","-15774",
"REG_FILTER_REPLACEMENT_TIME_L","I","Holding Register (Function 03/06/16)","HOLDING_REG","7002",,,"Timestamp of latest filter replcement, lower 16 bits","-29854",
"REG_FILTER_REPLACEMENT_TIME_H","I","Holding Register (Function 03/06/16)","HOLDING_REG","7003",,,"Timestamp of latest filter replcement, higher 16 bits","0",
"REG_FILTER_PERIOD_SET","I","Read Input Register (Function 04)","INPUT_REG","7004",,,"Indicates that the LastFilterReplacementTime shall be set Now.","-1101","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FILTER_REMAINING_TIME_L","I","Read Input Register (Function 04)","INPUT_REG","7005",,,"Remaining filter time in seconds, lower 16 bits.","236","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FILTER_REMAINING_TIME_H","I","Read Input Register (Function 04)","INPUT_REG","7006",,,"Remaining filter time in seconds, higher 16 bits.","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_FILTER_ALARM_WAS_DETECTED","I","Read Input Register (Function 04)","INPUT_REG","7007",,,"Indicates if the filter warning alarm was generated.","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SYSTEM_UNIT_FLOW","I","Holding Register (Function 03/06/16)","HOLDING_REG","9001","0","2","Unit for CAV control mode.0: l/s1: m3/h2: cfm","0",
"REG_SYSTEM_UNIT_PRESSURE","I","Holding Register (Function 03/06/16)","HOLDING_REG","9002","0","1","Units for VAV control mode.0: Pa1: InH2O","0",
"REG_SYSTEM_UNIT_TEMPERATURE","I","Holding Register (Function 03/06/16)","HOLDING_REG","9003","0","1","Units for temperature.0: Celcius1: Fahrenheit","241",
"REG_DI_CONNECTION_1","I","Holding Register (Function 03/06/16)","HOLDING_REG","11401","0","18","Indicates what kind of DI functionality is connected to DI1.0: None /Away/ BYP/ Vacuum Cleaner/ Cooker Hood/ Crowded/ EMT/ External Stop/ Extra Controller Alarm/ Fireplace/ Holiday/ Refresh/ RGS/ Change Over Feedback/ 14: Fire Alarm/ ConfigurableDI1 / ConfigurableDI2 / ConfigurableDI3 / 18: Pressure Guard","0",
"REG_DI_CONNECTION_2","I","Holding Register (Function 03/06/16)","HOLDING_REG","11402","0","18","Indicates what kind of DI functionality is connected to DI1.0: None /Away/ BYP/ Vacuum Cleaner/ Cooker Hood/ Crowded/ EMT/ External Stop/ Extra Controller Alarm/ Fireplace/ Holiday/ Refresh/ RGS/ Change Over Feedback/ 14: Fire Alarm/ ConfigurableDI1 / ConfigurableDI2 / ConfigurableDI3 / 18: Pressure Guard","0",
"REG_DI_CFG_POLARITY_1","I","Holding Register (Function 03/06/16)","HOLDING_REG","11421","0","1","Polarity of DI1.0: NO1: NC","0",
"REG_DI_CFG_POLARITY_2","I","Holding Register (Function 03/06/16)","HOLDING_REG","11422","0","1","Polarity of DI1.0: NO1: NC","0",
"REG_INPUT_ANALOG_UI_1","I","Holding Register (Function 03/06/16)","HOLDING_REG","12011",,,"mV","4",
"REG_INPUT_ANALOG_UI_2","I","Holding Register (Function 03/06/16)","HOLDING_REG","12012",,,"mV","3",
"REG_INPUT_ANALOG_UI_3","I","Holding Register (Function 03/06/16)","HOLDING_REG","12013",,,"mV","5",
"REG_INPUT_ANALOG_UI_4","I","Holding Register (Function 03/06/16)","HOLDING_REG","12014",,,"mV","8",
"REG_INPUT_ANALOG_UI_5","I","Holding Register (Function 03/06/16)","HOLDING_REG","12015",,,"mV","0",
"REG_INPUT_DIGITAL_UI_1","I","Holding Register (Function 03/06/16)","HOLDING_REG","12021","0","1","State of UI1","0",
"REG_INPUT_DIGITAL_UI_2","I","Holding Register (Function 03/06/16)","HOLDING_REG","12022","0","1","State of UI2","0",
"REG_INPUT_DIGITAL_UI_3","I","Holding Register (Function 03/06/16)","HOLDING_REG","12023","0","1","State of UI3","0",
"REG_INPUT_DIGITAL_UI_4","I","Holding Register (Function 03/06/16)","HOLDING_REG","12024","0","1","State of UI4","0",
"REG_INPUT_DIGITAL_UI_5","I","Holding Register (Function 03/06/16)","HOLDING_REG","12025","0","1","State of UI5","0",
"REG_INPUT_DIGITAL_DI_1","I","Read Input Register (Function 04)","INPUT_REG","12031","0","1","Boolean","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_INPUT_DIGITAL_DI_2","I","Read Input Register (Function 04)","INPUT_REG","12032","0","1","Boolean","0","ReadInputRegisters returned FunctionCodeNotSupportedException, trying ReadHoldingRegisters"
"REG_SENSOR_FPT","I*","Holding Register (Function 03/06/16)","HOLDING_REG","12101","-400","800","Frost Protection Temperature sensor value (Water Heater)","76",
